MA,RSI,MACD,WILLR,KDJ,Gross Profit,Gross Loss,Profit Factor,Count
5,5,"(12,26,9)",10,"(9,3,3)",10.82588238608781,5.090717298517696,2.1265927277556873,26
5,5,"(12,26,9)",20,"(9,3,3)",10.82588238608781,5.090717298517696,2.1265927277556873,26
5,5,"(12,26,9)",5,"(9,3,3)",10.82588238608781,5.090717298517696,2.1265927277556873,26
10,10,"(24,52,9)",10,"(36,3,3)",7.175012986857341,0.0,,9
10,10,"(24,52,9)",20,"(36,3,3)",7.175012986857341,0.0,,9
10,10,"(24,52,9)",5,"(36,3,3)",7.175012986857341,0.0,,9
10,10,"(12,26,9)",10,"(36,3,3)",7.274096328152607,0.0,,10
10,10,"(12,26,9)",20,"(36,3,3)",7.274096328152607,0.0,,10
10,10,"(12,26,9)",5,"(36,3,3)",7.274096328152607,0.0,,10
10,10,"(48,104,9)",10,"(36,3,3)",8.152631834815528,0.0,,9
10,10,"(48,104,9)",20,"(36,3,3)",8.152631834815528,0.0,,9
10,10,"(48,104,9)",5,"(36,3,3)",8.152631834815528,0.0,,9
10,20,"(24,52,9)",10,"(36,3,3)",7.175012986857341,0.0,,9
10,20,"(24,52,9)",20,"(36,3,3)",7.175012986857341,0.0,,9
10,20,"(24,52,9)",5,"(36,3,3)",7.175012986857341,0.0,,9
10,20,"(12,26,9)",10,"(36,3,3)",7.274096328152607,0.0,,10
10,20,"(12,26,9)",20,"(36,3,3)",7.274096328152607,0.0,,10
10,20,"(12,26,9)",5,"(36,3,3)",7.274096328152607,0.0,,10
10,20,"(48,104,9)",10,"(36,3,3)",8.152631834815528,0.0,,9
10,20,"(48,104,9)",20,"(36,3,3)",8.152631834815528,0.0,,9
10,20,"(48,104,9)",5,"(36,3,3)",8.152631834815528,0.0,,9
10,5,"(24,52,9)",10,"(36,3,3)",7.175012986857341,0.0,,9
10,5,"(24,52,9)",20,"(36,3,3)",7.175012986857341,0.0,,9
10,5,"(24,52,9)",5,"(36,3,3)",7.175012986857341,0.0,,9
10,5,"(12,26,9)",10,"(36,3,3)",7.274096328152607,0.0,,10
10,5,"(12,26,9)",20,"(36,3,3)",7.274096328152607,0.0,,10
10,5,"(12,26,9)",5,"(36,3,3)",7.274096328152607,0.0,,10
10,5,"(48,104,9)",10,"(36,3,3)",8.152631834815528,0.0,,9
10,5,"(48,104,9)",20,"(36,3,3)",8.152631834815528,0.0,,9
10,5,"(48,104,9)",5,"(36,3,3)",8.152631834815528,0.0,,9
20,10,"(24,52,9)",10,"(36,3,3)",7.175012986857341,0.0,,9
20,10,"(24,52,9)",20,"(36,3,3)",7.175012986857341,0.0,,9
20,10,"(24,52,9)",5,"(36,3,3)",7.175012986857341,0.0,,9
20,10,"(12,26,9)",10,"(36,3,3)",7.274096328152607,0.0,,10
20,10,"(12,26,9)",20,"(36,3,3)",7.274096328152607,0.0,,10
20,10,"(12,26,9)",5,"(36,3,3)",7.274096328152607,0.0,,10
20,10,"(48,104,9)",10,"(36,3,3)",8.152631834815528,0.0,,9
20,10,"(48,104,9)",20,"(36,3,3)",8.152631834815528,0.0,,9
20,10,"(48,104,9)",5,"(36,3,3)",8.152631834815528,0.0,,9
20,20,"(24,52,9)",10,"(36,3,3)",7.175012986857341,0.0,,9
20,20,"(24,52,9)",20,"(36,3,3)",7.175012986857341,0.0,,9
20,20,"(24,52,9)",5,"(36,3,3)",7.175012986857341,0.0,,9
20,20,"(12,26,9)",10,"(36,3,3)",7.274096328152607,0.0,,10
20,20,"(12,26,9)",20,"(36,3,3)",7.274096328152607,0.0,,10
20,20,"(12,26,9)",5,"(36,3,3)",7.274096328152607,0.0,,10
20,20,"(48,104,9)",10,"(36,3,3)",8.152631834815528,0.0,,9
20,20,"(48,104,9)",20,"(36,3,3)",8.152631834815528,0.0,,9
20,20,"(48,104,9)",5,"(36,3,3)",8.152631834815528,0.0,,9
20,5,"(24,52,9)",10,"(36,3,3)",7.175012986857341,0.0,,9
